Seed,Dataset,Approach,NMI,GC,ILF1,ARI,EBM,KNN Acc,ASW_B,ASW_C
42,CellLine,FedscGen-SMPC,0.9684893388250716,1.0,1.0,0.2087998000773109,0.4805585307272805,0.996348443137468,0.921865745923488,0.7565586268901825
123,CellLine,FedscGen-SMPC,0.9760800083765696,1.0,1.0,0.1934439930931934,0.490672316189611,0.9967075872426652,0.9231008823127652,0.7546710073947906
456,CellLine,FedscGen-SMPC,0.9385862830170012,1.0,1.0,0.2154413294032135,0.4943188356471434,0.9967506285135976,0.928622792097259,0.76170614361763
789,CellLine,FedscGen-SMPC,0.9576905324114235,1.0,1.0,0.2117962624579837,0.4976436148760208,0.9969517646464544,0.9280524845957476,0.7722688317298889
1618,CellLine,FedscGen-SMPC,0.9513177065758324,1.0,1.0,0.2023878778335464,0.4833284289430798,0.9959608979199076,0.9163882871737548,0.7595750689506531
2024,CellLine,FedscGen-SMPC,0.9659289282792706,1.0,1.0,0.2068681517287962,0.4984380139625445,0.9957722621055232,0.9286996641681752,0.7707851231098175
2718,CellLine,FedscGen-SMPC,0.9542499593695478,1.0,1.0,0.2076762372939331,0.4836961451742695,0.9964476298067796,0.9189144101589808,0.746005117893219
9999,CellLine,FedscGen-SMPC,0.95472651420177,1.0,1.0,0.1976482616817426,0.4903264035174347,0.9959132294104454,0.9266980643246748,0.746835470199585
31415,CellLine,FedscGen-SMPC,0.970330831087907,1.0,1.0,0.2089096626597175,0.4874775353823563,0.996315622437954,0.9222366537086546,0.7542683482170105
101112,CellLine,FedscGen-SMPC,0.9557408681981918,1.0,1.0,0.1861644994775304,0.4996117739892387,0.9966252335893924,0.9313979708482304,0.7562038600444794
42,HumanDendriticCells,FedscGen-SMPC,0.7783677641396568,1.0,0.4986737400530504,0.7945136927004911,0.6807455680864705,0.897194848824188,0.9658761164534602,0.6626537293195724
123,HumanDendriticCells,FedscGen-SMPC,0.8026981753163392,1.0,0.4986737400530504,0.808272635006866,0.6803633950080674,0.9153172825681224,0.954170436417572,0.6790248900651932
456,HumanDendriticCells,FedscGen-SMPC,0.7653483559704489,1.0,0.4986737400530504,0.8179420200043233,0.7072122907374342,0.8891694662187384,0.959524910228854,0.6435895711183548
789,HumanDendriticCells,FedscGen-SMPC,0.7833976553150488,1.0,0.4986737400530504,0.7907791508523645,0.6723163283118929,0.9014818962299364,0.946164854107524,0.6525385826826096
1618,HumanDendriticCells,FedscGen-SMPC,0.7841403595507588,1.0,0.4986737400530504,0.8000861578271192,0.7228192625197007,0.8794942142590519,0.9602230255483032,0.6207490712404251
2024,HumanDendriticCells,FedscGen-SMPC,0.788021092647217,1.0,0.4986737400530504,0.789953978385554,0.709475723301954,0.8755020530048526,0.9735532183126884,0.6338433176279068
2718,HumanDendriticCells,FedscGen-SMPC,0.7741921463487391,1.0,0.4986737400530504,0.7980829719047842,0.6785593061468443,0.8937831280328481,0.9671664535192624,0.6484585851430893
9999,HumanDendriticCells,FedscGen-SMPC,0.757994249362949,1.0,0.4986737400530504,0.8073719786700425,0.7157999755528462,0.8979507278835387,0.9546047588141702,0.6469216495752335
31415,HumanDendriticCells,FedscGen-SMPC,0.7265440742000636,1.0,0.4986737400530504,0.6535965741292076,0.8088124040075484,0.8267263904441957,0.9702914699565124,0.6159658581018448
101112,HumanDendriticCells,FedscGen-SMPC,0.7557279413737293,1.0,0.4986737400530504,0.773828481472499,0.684250561458062,0.8901250466592013,0.9655539896495036,0.6626914888620377
42,HumanPancreas,FedscGen-SMPC,0.8619168953464945,0.9995565410199556,0.0046904315196998,0.5259926860732238,0.4484213874452037,0.740881896459634,0.8774146907580892,0.6464160680770874
123,HumanPancreas,FedscGen-SMPC,0.8827330937117702,1.0,0.0046904315196998,0.4810519035548644,0.4646207373129287,0.7408879555782817,0.8692256484326126,0.6497336328029633
456,HumanPancreas,FedscGen-SMPC,0.8836461838348391,1.0,0.0046904315196998,0.4641246303644672,0.4477831564227321,0.7627930998694806,0.8633522803662834,0.6643462628126144
789,HumanPancreas,FedscGen-SMPC,0.8726812938616493,0.9995259030193304,0.0046904315196998,0.4915151598818255,0.4524544579844682,0.7424927247130086,0.8676255047717575,0.6539458632469177
1618,HumanPancreas,FedscGen-SMPC,0.8839094023125916,0.999630450849963,0.0046904315196998,0.4904357971223335,0.445242297877465,0.7465565522295213,0.8718841188604262,0.655923381447792
2024,HumanPancreas,FedscGen-SMPC,0.8844555116231899,1.0,0.0046904315196998,0.5168599340144628,0.4713760617685543,0.7459119749772076,0.8609443668208191,0.667225793004036
2718,HumanPancreas,FedscGen-SMPC,0.8875064355746286,0.9961571344123582,0.0046904315196998,0.4463805832857954,0.4528531368376242,0.7397914274699516,0.8745294006813702,0.6480146944522858
9999,HumanPancreas,FedscGen-SMPC,0.8788869084408721,1.0,0.0046904315196998,0.5234451708707011,0.4554700909106197,0.7529839177886049,0.8748673896168991,0.6500893831253052
31415,HumanPancreas,FedscGen-SMPC,0.8897885889276024,0.975,0.0046904315196998,0.5229370543674788,0.4589986538817135,0.7576640235505951,0.8612501273186595,0.6677689701318741
101112,HumanPancreas,FedscGen-SMPC,0.8792982473635673,1.0,0.0046904315196998,0.503084527683274,0.4593513028020143,0.7381015787978732,0.8733948145870435,0.663764551281929
42,MouseCellAtlas,FedscGen-SMPC,0.8294345428703572,1.0,0.0354558610709117,0.4983113898197364,0.3093664642780074,0.9032448289467452,0.891905898318326,0.612174890935421
123,MouseCellAtlas,FedscGen-SMPC,0.81717630089014,0.9991043439319302,0.0354558610709117,0.5031611545946869,0.3522961754862239,0.8975157736643951,0.8990504887415048,0.6152281686663628
456,MouseCellAtlas,FedscGen-SMPC,0.8051273249547917,1.0,0.0354558610709117,0.5115332089264983,0.3471177305223454,0.9016539930786088,0.888306334127268,0.6231433153152466
789,MouseCellAtlas,FedscGen-SMPC,0.7753901103651046,1.0,0.0354558610709117,0.4821542118025415,0.3099927260201366,0.9065066699423536,0.8725231770015522,0.614061638712883
1618,MouseCellAtlas,FedscGen-SMPC,0.8163386019715227,1.0,0.0354558610709117,0.4919714908163667,0.3095328707921557,0.8944075806315631,0.8632249083511628,0.5999332219362259
2024,MouseCellAtlas,FedscGen-SMPC,0.8042982253056876,0.9917901481778134,0.0354558610709117,0.4941504496168841,0.3181846665596347,0.9026935760746024,0.8859147638075022,0.6113930568099022
2718,MouseCellAtlas,FedscGen-SMPC,0.8145114780966197,1.0,0.0354558610709117,0.510387548775347,0.2986954050751044,0.9055445262950996,0.8926661643189789,0.6162347570061684
9999,MouseCellAtlas,FedscGen-SMPC,0.796065127162667,1.0,0.0354558610709117,0.5111481727451428,0.3121653672702097,0.9056633199623072,0.8897384099309229,0.6231985092163086
